Event Name,Short Name,Event Description,Event Category,Event Start Date,Event Time Starts,Event End Date,Event Time Ends,Free Event,Accesible Event,Event Website,Event Email,Event Telephone,Location,Latitude,Longitude,Event Attendance,Mean Attendance per Day
Toronto Waterfront Festival,Waterfront Fest Day 1,Featuring the return of the Giant Rubber Duck.,Festival,2023-09-16,11:00:00 AM,2023-09-16,8:00:00 PM,Yes,Yes,towaterfrontfest.com,info@towaterfrontfest.com,+1 416-644-1744,Sugar Beach,43.6437,-79.3673,100000,50000
Toronto Waterfront Festival,Waterfront Fest Day 2,Featuring the return of the Giant Rubber Duck.,Festival,2023-09-17,11:00:00 AM,2023-09-17,6:00:00 PM,Yes,Yes,towaterfrontfest.com,info@towaterfrontfest.com,+1 416-644-1744,Sugar Beach,43.6437,-79.3673,100000,50000
Rogers Cup (National Bank Open),Tennis Day 1,World-class professional tennis tournament (ATP/WTA).,Sports,2023-08-07,11:00:00 AM,2023-08-07,10:00:00 PM,No,Yes,nationalbankopen.com,info@tenniscanada.com,+1 416-665-9777,Sobeys Stadium,43.7715,-79.5103,150000,18750
Rogers Cup (National Bank Open),Tennis Day 2,World-class professional tennis tournament (ATP/WTA).,Sports,2023-08-08,11:00:00 AM,2023-08-08,10:00:00 PM,No,Yes,nationalbankopen.com,info@tenniscanada.com,+1 416-665-9777,Sobeys Stadium,43.7715,-79.5103,150000,18750
TIFF (Toronto Int. Film Festival),TIFF Day 3,Global cinematic event with world premieres.,Arts / Cinema,2023-09-09,9:00:00 AM,2023-09-09,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
TIFF (Toronto Int. Film Festival),TIFF Day 4,Global cinematic event with world premieres.,Arts / Cinema,2023-09-10,9:00:00 AM,2023-09-10,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
CNE (The Ex),CNE Day 3,Canada's largest annual fair and carnival.,Fair,2023-08-20,10:00:00 AM,2023-08-20,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1600000,88888
CNE (The Ex),CNE Day 4,Canada's largest annual fair and carnival.,Fair,2023-08-21,10:00:00 AM,2023-08-21,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1600000,88888
Taylor Swift: The Eras Tour,Taylor Swift Day 1,Highly anticipated stadium concert event.,Concert,2023-11-14,7:00:00 PM,2023-11-14,11:30:00 PM,No,Yes,rogerscentre.com,info@rogerscentre.com,+1 416-341-1000,Rogers Centre,43.6414,-79.3894,50000,50000
Taylor Swift: The Eras Tour,Taylor Swift Day 2,Highly anticipated stadium concert event.,Concert,2023-11-15,7:00:00 PM,2023-11-15,11:30:00 PM,No,Yes,rogerscentre.com,info@rogerscentre.com,+1 416-341-1000,Rogers Centre,43.6414,-79.3894,50000,50000
Toronto FC Home Opener,TFC Opener 2023,Major League Soccer home opener at BMO Field.,Sports,2023-03-11,7:30:00 PM,2023-03-11,10:00:00 PM,No,Yes,torontofc.ca,info@torontofc.ca,+1 416-815-5500,BMO Field,43.6328,-79.4186,30000,30000
Word on the Street,Word Street Day 1,Canada's largest book and magazine festival.,Arts / Literacy,2023-05-27,10:00:00 AM,2023-05-27,6:00:00 PM,Yes,Yes,thewordonthestreet.ca,info@thewordonthestreet.ca,+1 416-504-7241,Queen's Park,43.6635,-79.3924,200000,100000
Word on the Street,Word Street Day 2,Canada's largest book and magazine festival.,Arts / Literacy,2023-05-28,10:00:00 AM,2023-05-28,6:00:00 PM,Yes,Yes,thewordonthestreet.ca,info@thewordonthestreet.ca,+1 416-504-7241,Queen's Park,43.6635,-79.3924,200000,100000
Inside Out Film Festival,Inside Out Day 1,LGBTQ+ international film festival.,Arts / Cinema,2023-05-25,6:00:00 PM,2023-05-25,11:00:00 PM,No,Yes,insideout.ca,info@insideout.ca,+1 416-977-6847,TIFF Bell Lightbox,43.6464,-79.3905,35000,3500
SXM Festival (Toronto Takeover),SXM Day 1,Major electronic music event series.,Music Festival,2023-05-12,9:00:00 PM,2023-05-12,4:00:00 AM,No,Yes,sxmfestival.com,info@sxmfestival.com,+1 416-111-2222,Various Clubs,43.647,-79.395,10000,10000
Beyond Monet,Beyond Monet Day 1,Immersive art experience at the Metro Convention Centre.,Arts / Culture,2023-06-15,10:00:00 AM,2023-06-15,9:00:00 PM,No,Yes,monettoronto.com,info@monettoronto.com,+1 416-585-8000,MTCC,43.6444,-79.3854,100000,1000
TD Festival of South Asia,South Asia Day 1,Cultural festival with food and entertainment.,Festival,2023-07-22,12:00:00 PM,2023-07-22,11:00:00 PM,Yes,Yes,festivalofsouthasia.ca,info@gerrardindiabazaar.com,+1 416-465-8555,Gerrard St,43.6722,-79.3218,200000,100000
TD Festival of South Asia,South Asia Day 2,Cultural festival with food and entertainment.,Festival,2023-07-23,12:00:00 PM,2023-07-23,11:00:00 PM,Yes,Yes,festivalofsouthasia.ca,info@gerrardindiabazaar.com,+1 416-465-8555,Gerrard St,43.6722,-79.3218,200000,100000
Toronto Outdoor Art Fair (TOAF),TOAF 62 Day 1,Canada's longest-running contemporary outdoor art fair.,Arts / Culture,2023-07-07,10:00:00 AM,2023-07-07,7:00:00 PM,Yes,Yes,toaf.ca,info@toaf.ca,+1 416-646-0190,Nathan Phillips Square,43.6535,-79.3839,150000,50000
Toronto Outdoor Art Fair (TOAF),TOAF 62 Day 2,Canada's longest-running contemporary outdoor art fair.,Arts / Culture,2023-07-08,10:00:00 AM,2023-07-08,7:00:00 PM,Yes,Yes,toaf.ca,info@toaf.ca,+1 416-646-0190,Nathan Phillips Square,43.6535,-79.3839,150000,50000
Big on Bloor Festival,Big Bloor Day 1,Pedestrian takeover and arts celebration.,Community,2023-07-15,12:00:00 PM,2023-07-15,11:59:00 PM,Yes,Yes,bigonbloorfestival.com,info@bigonbloor.com,+1 416-645-5600,Bloor St West,43.659,-79.438,100000,50000
Big on Bloor Festival,Big Bloor Day 2,Pedestrian takeover and arts celebration.,Community,2023-07-16,12:00:00 PM,2023-07-16,6:00:00 PM,Yes,Yes,bigonbloorfestival.com,info@bigonbloor.com,+1 416-645-5600,Bloor St West,43.659,-79.438,100000,50000
Taste of South Asia,Taste Asia Day 1,Massive multicultural street festival.,Food / Festival,2023-08-19,12:00:00 PM,2023-08-19,11:00:00 PM,Yes,Yes,tasteofsouthasia.com,info@tasteofsouthasia.com,+1 416-888-9999,Scarborough,43.67,-79.32,100000,50000
Toronto Chinatown Festival,Chinatown Fest Day 1,Celebration of Chinese culture and street food.,Festival,2023-08-19,12:00:00 PM,2023-08-19,11:00:00 PM,Yes,Yes,chinatownbia.com,info@chinatownbia.com,+1 416-263-1200,Spadina Ave,43.653,-79.398,250000,125000
Toronto Chinatown Festival,Chinatown Fest Day 2,Celebration of Chinese culture and street food.,Festival,2023-08-20,11:00:00 AM,2023-08-20,8:00:00 PM,Yes,Yes,chinatownbia.com,info@chinatownbia.com,+1 416-263-1200,Spadina Ave,43.653,-79.398,250000,125000
Elevate Festival,Elevate Day 1,Canada's largest tech and innovation festival.,Convention / Tech,2023-09-26,9:00:00 AM,2023-09-26,6:00:00 PM,No,Yes,elevate.ca,info@elevate.ca,+1 416-555-0199,Design Exchange,43.6478,-79.3802,20000,6666
Elevate Festival,Elevate Day 2,Canada's largest tech and innovation festival.,Convention / Tech,2023-09-27,9:00:00 AM,2023-09-27,6:00:00 PM,No,Yes,elevate.ca,info@elevate.ca,+1 416-555-0199,Design Exchange,43.6478,-79.3802,20000,6666
Elevate Festival,Elevate Day 3,Canada's largest tech and innovation festival.,Convention / Tech,2023-09-28,9:00:00 AM,2023-09-28,6:00:00 PM,No,Yes,elevate.ca,info@elevate.ca,+1 416-555-0199,Design Exchange,43.6478,-79.3802,20000,6666
Art Toronto,Art Toronto Day 1,Canada's international fair for modern and contemporary art.,Arts / Culture,2023-10-27,12:00:00 PM,2023-10-27,8:00:00 PM,No,Yes,arttoronto.ca,info@arttoronto.ca,+1 416-960-5390,MTCC,43.6444,-79.3854,20000,5000
Art Toronto,Art Toronto Day 2,Canada's international fair for modern and contemporary art.,Arts / Culture,2023-10-28,11:00:00 AM,2023-10-28,8:00:00 PM,No,Yes,arttoronto.ca,info@arttoronto.ca,+1 416-960-5390,MTCC,43.6444,-79.3854,20000,5000
One of a Kind Show (Winter),OOAK Day 1,Largest craft and artisan show in North America.,Exhibition,2023-11-23,10:00:00 AM,2023-11-23,9:00:00 PM,No,Yes,oneofakindshow.com,info@oneofakindshow.com,+1 416-960-5312,Enercare Centre,43.6334,-79.4124,200000,18181
One of a Kind Show (Winter),OOAK Day 2,Largest craft and artisan show in North America.,Exhibition,2023-11-24,10:00:00 AM,2023-11-24,9:00:00 PM,No,Yes,oneofakindshow.com,info@oneofakindshow.com,+1 416-960-5312,Enercare Centre,43.6334,-79.4124,200000,18181
Cavalcade of Lights,Cavalcade 2023,Official Christmas tree lighting at City Hall.,Holiday,2023-11-25,3:00:00 PM,2023-11-25,11:00:00 PM,Yes,Yes,toronto.ca,spev@toronto.ca,+1 416-338-0338,Nathan Phillips Square,43.6535,-79.3839,50000,50000
Holiday Fair in the Square,Holiday Fair Day 1,Outdoor holiday market and artisan fair.,Holiday,2023-12-01,4:00:00 PM,2023-12-01,9:00:00 PM,Yes,Yes,fairinthesquare.ca,info@fairinthesquare.ca,+1 416-111-2233,Nathan Phillips Square,43.6535,-79.3839,150000,7500
Toronto Boat Show,Boat Show Day 1,Canada's largest indoor boat and water sports show.,Exhibition,2024-01-19,10:00:00,2024-01-19,8:00:00 PM,No,Yes,torontoboatshow.com,info@torontoboatshow.com,+1 905-951-0005,Enercare Centre,43.6334,-79.4124,80000,8000
Toronto Boat Show,Boat Show Day 2,Canada's largest indoor boat and water sports show.,Exhibition,2024-01-24,10:00:00,2024-01-20,8:00:00 PM,No,Yes,torontoboatshow.com,info@torontoboatshow.com,+1 905-951-0005,Enercare Centre,43.6334,-79.4124,80000,8000
Winterlicious,Winterlicious Day 1,City-wide culinary event with over 200 restaurants.,Food / Festival,2024-01-26,11:00:00,2024-01-26,10:00:00 PM,No,Yes,toronto.ca/winterlicious,winterlicious@toronto.ca,+1 416-338-0338,Citywide,43.648,-79.381,250000,17857
NHL All-Star Weekend,NHL All-Star Day 1,NHL All-Star Thursday featuring player draft.,Sports,2024-02-01,18:00:00,2024-02-01,10:00:00 PM,No,Yes,nhl.com,social@nhl.com,+1 416-815-5500,Scotiabank Arena,43.6435,-79.3791,19000,19000
NHL All-Star Weekend,NHL All-Star Day 2,NHL Skills Competition featuring top stars.,Sports,2024-02-02,19:00:00,2024-02-02,10:00:00 PM,No,Yes,nhl.com,social@nhl.com,+1 416-815-5500,Scotiabank Arena,43.6435,-79.3791,19000,19000
NHL All-Star Weekend,NHL All-Star Day 3,The 2024 NHL All-Star Game.,Sports,2024-02-03,15:00:00,2024-02-03,6:00:00 PM,No,Yes,nhl.com,social@nhl.com,+1 416-815-5500,Scotiabank Arena,43.6435,-79.3791,19000,19000
Canadian Int. AutoShow,AutoShow Day 1,Canada's largest automotive expo.,Exhibition,2024-02-16,10:30:00,2024-02-16,10:00:00 PM,No,Yes,autoshow.ca,info@autoshow.ca,+1 905-940-2800,MTCC,43.6441,-79.3879,370000,37000
Canadian Int. AutoShow,AutoShow Day 2,Canada's largest automotive expo.,Exhibition,2024-02-17,10:30:00,2024-02-17,10:00:00 PM,No,Yes,autoshow.ca,info@autoshow.ca,+1 905-940-2800,MTCC,43.6441,-79.3879,370000,37000
Toronto Comicon,Comicon Day 1,"Large celebration of sci-fi, horror, and anime.",Convention,2024-03-15,10:00:00,2024-03-15,7:00:00 PM,No,Yes,fanexpohq.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6441,-79.3879,35000,11666
Toronto Comicon,Comicon Day 2,"Large celebration of sci-fi, horror, and anime.",Convention,2024-03-16,10:00:00,2024-03-16,7:00:00 PM,No,Yes,fanexpohq.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6441,-79.3879,35000,11666
St. Patrick's Parade,St. Patricks 2024,Annual parade celebrating Irish community.,Parade,2024-03-17,12:00:00,2024-03-17,3:00:00 PM,Yes,Yes,stpatrickstoronto.com,info@stpatrickstoronto.com,+1 416-996-8431,Yonge St,43.665,-79.39,300000,300000
One of a Kind Spring,OOAK Spring Day 1,Unique handmade crafts and artisan products.,Exhibition,2024-03-27,10:00:00,2024-03-27,9:00:00 PM,No,Yes,oneofakindshow.com,info@oneofakindshow.com,+1 416-960-5312,Enercare Centre,43.6334,-79.4124,100000,20000
Blue Jays Home Opener,Jays Opener 2024,Home opener vs Seattle Mariners.,Sports,2024-08-04,19:07:00,2024-04-08,10:30:00 PM,No,Yes,mlb.com/bluejays,fanfeedback@bluejays.com,+1 416-341-1000,Rogers Centre,43.6414,-79.3894,40000,40000
Solar Eclipse at NPS,Eclipse 2024,Partial solar eclipse public viewing event.,Special Event,2024-04-08,14:00:00,2024-04-08,4:30:00 PM,Yes,Yes,toronto.ca,spev@toronto.ca,+1 416-338-0338,Nathan Phillips Square,43.6535,-79.3839,20000,20000
Hot Docs Festival,Hot Docs Day 1,International documentary film festival.,Arts / Cinema,2024-04-25,9:00:00,2024-04-25,11:00:00 PM,No,Yes,hotdocs.ca,info@hotdocs.ca,+1 416-203-2155,Bloor Cinema,43.6659,-79.4101,180000,16363
Hot Docs Festival,Hot Docs Day 2,International documentary film festival.,Arts / Cinema,2024-04-26,9:00:00,2024-04-26,11:00:00 PM,No,Yes,hotdocs.ca,info@hotdocs.ca,+1 416-203-2155,Bloor Cinema,43.6659,-79.4101,180000,16363
TFC vs CF Montreal,401 Derby 2024,Major rivalry match at BMO Field.,Sports,2024-05-18,19:30:00,2024-05-18,10:00:00 PM,No,Yes,torontofc.ca,info@torontofc.ca,+1 416-815-5500,BMO Field,43.6328,-79.4186,28000,28000
Doors Open Toronto,Doors Open Day 1,Access to architecturally significant buildings.,History,2024-05-25,10:00:00,2024-05-25,5:00:00 PM,Yes,Yes,toronto.ca/doorsopen,doorsopen@toronto.ca,+1 416-338-0338,Citywide,43.6534,-79.3841,200000,100000
Doors Open Toronto,Doors Open Day 2,Access to architecturally significant buildings.,History,2024-05-26,10:00:00,2024-05-26,5:00:00 PM,Yes,Yes,toronto.ca/doorsopen,doorsopen@toronto.ca,+1 416-338-0338,Citywide,43.6534,-79.3841,200000,100000
Toronto Marathon,Marathon 2024,Spring marathon through city neighborhoods.,Sports,2024-05-05,7:30:00,2024-05-05,2:00:00 PM,No,Yes,torontomarathon.com,info@torontomarathon.com,+1 416-944-2765,Downtown,43.64,-79.38,15000,15000
Luminato Festival,Luminato Day 1,Multi-arts festival in public spaces.,Arts / Culture,2024-06-05,10:00:00,2024-06-05,11:00:00 PM,Yes,Yes,luminatofestival.com,info@luminato.com,+1 416-368-3745,Various,43.6475,-79.3815,250000,25000
NXNE Festival,NXNE Day 1,North by Northeast music and arts festival.,Music Festival,2024-06-12,12:00:00,2024-06-12,11:59:00 PM,No,Yes,nxne.com,info@nxne.com,+1 416-863-6963,Various Venues,43.6561,-79.3802,50000,10000
NXNE Festival,NXNE Day 2,North by Northeast music and arts festival.,Music Festival,2024-06-13,12:00:00,2024-06-13,11:59:00 PM,No,Yes,nxne.com,info@nxne.com,+1 416-863-6963,Various Venues,43.6561,-79.3802,50000,10000
Taste of Little Italy,Little Italy Day 1,Food and music on College Street.,Food / Festival,2024-06-14,19:00:00,2024-06-14,11:59:00 PM,Yes,Yes,tolittleitaly.com,info@tolittleitaly.com,+1 416-546-4036,College St,43.6554,-79.4132,200000,66666
Taste of Little Italy,Little Italy Day 2,Food and music on College Street.,Food / Festival,2024-06-15,11:00:00,2024-06-15,11:59:00 PM,Yes,Yes,tolittleitaly.com,info@tolittleitaly.com,+1 416-546-4036,College St,43.6554,-79.4132,200000,66666
Pride Toronto Festival,Pride Toronto Day 1,Massive celebration of 2SLGBTQ+ communities.,Community,2024-06-28,10:00:00,2024-06-28,11:00:00 PM,Yes,Yes,pridetoronto.com,office@pridetoronto.com,+1 416-927-7433,Church-Wellesley Village,43.6656,-79.3809,2600000,866666
Pride Toronto Festival,Pride Toronto Day 2,Street fair and community performances.,Community,2024-06-29,10:00:00,2024-06-29,11:00:00 PM,Yes,Yes,pridetoronto.com,office@pridetoronto.com,+1 416-927-7433,Church-Wellesley Village,43.6656,-79.3809,2600000,866666
Pride Toronto Festival,Pride Toronto Day 3,The main Pride Parade through downtown Toronto.,Community,2024-06-30,10:00:00,2024-06-30,11:00:00 PM,Yes,Yes,pridetoronto.com,office@pridetoronto.com,+1 416-927-7433,Church-Wellesley Village,43.6656,-79.3809,2600000,866666
Canada Day 2024,Canada Day NPS,Fireworks and live music for Canada Day.,Holiday,2024-07-01,12:00:00,2024-07-01,11:00:00 PM,Yes,Yes,toronto.ca,spev@toronto.ca,+1 416-338-0338,Nathan Phillips Square,43.6535,-79.3839,120000,120000
Budweiser Stage: Maroon 5,Maroon 5 Day 1,High-capacity outdoor concert at Ontario Place.,Concert,2024-07-03,19:00:00,2024-07-03,11:00:00 PM,No,Yes,livenation.com,info@livenation.com,+1 416-263-5200,Budweiser Stage,43.6295,-79.4153,16000,16000
Honda Indy Toronto,Honda Indy Day 1,IndyCar series racing on the exhibition grounds.,Sports,2024-07-19,8:00:00,2024-07-19,6:00:00 PM,No,Yes,hondaindy.com,info@hondaindy.com,+1 416-588-7223,Exhibition Place,43.6328,-79.4116,155000,51666
Honda Indy Toronto,Honda Indy Day 2,IndyCar series racing on the exhibition grounds.,Sports,2024-07-20,8:00:00,2024-07-20,6:00:00 PM,No,Yes,hondaindy.com,info@hondaindy.com,+1 416-588-7223,Exhibition Place,43.6328,-79.4116,155000,51666
Honda Indy Toronto,Honda Indy Day 3,Final race day of the Honda Indy.,Sports,2024-07-21,8:00:00,2024-07-21,6:00:00 PM,No,Yes,hondaindy.com,info@hondaindy.com,+1 416-588-7223,Exhibition Place,43.6328,-79.4116,155000,51666
Toronto Caribbean Carnival,Caribana Day 1,Cultural celebration of Caribbean spirit.,Festival / Culture,2024-08-01,9:00:00,2024-08-01,10:00:00 PM,Yes,Yes,torontocarnival.ca,info@torontocarnival.ca,+1 416-391-5608,Exhibition Place,43.6328,-79.4116,1300000,325000
Toronto Caribbean Carnival,Caribana Day 2,Massive carnival celebration and parties.,Festival / Culture,2024-08-02,9:00:00,2024-08-02,11:00:00 PM,Yes,Yes,torontocarnival.ca,info@torontocarnival.ca,+1 416-391-5608,Exhibition Place,43.6328,-79.4116,1300000,325000
Toronto Caribbean Carnival,Caribana Day 3,The Grand Parade at Lakeshore Blvd.,Festival / Culture,2024-08-03,8:00:00,2024-08-03,10:00:00 PM,Yes,Yes,torontocarnival.ca,info@torontocarnival.ca,+1 416-391-5608,Lakeshore Blvd,43.63,-79.412,1300000,325000
Toronto Caribbean Carnival,Caribana Day 4,Cultural parade and closing community events.,Festival / Culture,2024-08-04,10:00:00,2024-08-04,8:00:00 PM,Yes,Yes,torontocarnival.ca,info@torontocarnival.ca,+1 416-391-5608,Various Locations,43.63,-79.412,1300000,325000
Veld Music Festival,Veld 2024 Day 1,Electronic Dance Music and Hip-Hop festival.,Music Festival,2024-08-02,13:00:00,2024-08-02,11:00:00 PM,No,Yes,veldmusicfestival.com,info@veldmusicfestival.com,+1 416-869-9444,Downsview Park,43.7374,-79.4795,105000,35000
Veld Music Festival,Veld 2024 Day 2,Electronic Dance Music and Hip-Hop festival.,Music Festival,2024-08-03,13:00:00,2024-08-03,11:00:00 PM,No,Yes,veldmusicfestival.com,info@veldmusicfestival.com,+1 416-869-9444,Downsview Park,43.7374,-79.4795,105000,35000
Veld Music Festival,Veld 2024 Day 3,Electronic Dance Music and Hip-Hop festival.,Music Festival,2024-08-04,13:00:00,2024-08-04,11:00:00 PM,No,Yes,veldmusicfestival.com,info@veldmusicfestival.com,+1 416-869-9444,Downsview Park,43.7374,-79.4795,105000,35000
National Bank Open,Tennis Open Day 1,International pro tennis tournament (ATP men).,Sports,2024-08-04,11:00:00,2024-08-04,10:00:00 PM,No,Yes,nationalbankopen.com,info@tenniscanada.com,+1 416-665-9777,Sobeys Stadium,43.7715,-79.5103,160000,16000
Taste of the Danforth,Danforth 2024 Day 1,Large street festival for Greek food.,Food / Festival,2024-08-09,18:00:00,2024-08-09,11:59:00 PM,Yes,Yes,tasteofthedanforth.com,info@greektowntoronto.com,+1 416-469-5621,Danforth Ave,43.679,-79.345,1600000,533333
Taste of the Danforth,Danforth 2024 Day 2,Large street festival for Greek food.,Food / Festival,2024-08-10,12:00:00,2024-08-10,11:59:00 PM,Yes,Yes,tasteofthedanforth.com,info@greektowntoronto.com,+1 416-469-5621,Danforth Ave,43.679,-79.345,1600000,533333
Canadian National Exhibition,CNE 2024 Day 1,Annual community celebration and fair.,Fair,2024-08-16,10:00:00,2024-08-16,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1600000,88888
Canadian National Exhibition,CNE 2024 Day 2,Annual community celebration and fair.,Fair,2024-08-17,10:00:00,2024-08-17,11:59:00 PM,No,Yes,theex.com,info@theex.com,+1 416-263-3800,Exhibition Place,43.6328,-79.4116,1600000,88888
Fan Expo Canada,Fan Expo 2024 Day 1,Massive pop culture and gaming convention.,Convention,2024-08-22,16:00:00,2024-08-22,9:00:00 PM,No,Yes,fanexpocanada.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6444,-79.3854,140000,35000
Fan Expo Canada,Fan Expo 2024 Day 2,Massive pop culture and gaming convention.,Convention,2024-08-23,10:00:00,2024-08-23,7:00:00 PM,No,Yes,fanexpocanada.com,info@fanexpo.com,+1 416-585-8000,MTCC,43.6444,-79.3854,140000,35000
TIFF (Int. Film Festival),TIFF 2024 Day 1,Premier film festival with world premieres.,Arts / Cinema,2024-09-05,9:00:00,2024-09-05,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
TIFF (Int. Film Festival),TIFF 2024 Day 2,Premier film festival with world premieres.,Arts / Cinema,2024-09-06,9:00:00,2024-09-06,11:59:00 PM,No,Yes,tiff.net,customerrelations@tiff.net,+1 416-599-2033,TIFF Bell Lightbox,43.6464,-79.3905,450000,40909
Nuit Blanche Toronto,Nuit Blanche 2024,City-wide all-night contemporary art event.,Arts / Culture,2024-10-05,19:00:00,2024-10-06,7:00:00 AM,Yes,Yes,toronto.ca/nuitblanche,nuitblanche@toronto.ca,+1 416-338-0338,Citywide,43.6532,-79.3832,1200000,1200000
Toronto Waterfront Marathon,Waterfront Marathon 2024,International elite road race.,Sports,2024-10-20,8:00:00,2024-10-20,3:00:00 PM,No,Yes,torontowaterfrontmarathon.com,info@runwaterfront.com,+1 416-944-2765,Downtown,43.6486,-79.3853,25000,25000
Royal Agricultural Fair,The Royal Day 1,Agricultural and horse competition event.,Exhibition,2024-11-01,9:00:00,2024-11-01,9:00:00 PM,No,Yes,royalfair.org,info@royalfair.org,+1 416-263-3400,Exhibition Place,43.6328,-79.4116,300000,30000
Distillery Winter Village,Winter Village 2024 Day 1,Historical holiday market in Distillery District.,Holiday,2024-11-14,10:00:00,2024-11-14,9:00:00 PM,No,Yes,thedistillerywintervillage.com,info@thedistillery.ca,+1 416-364-1177,Distillery District,43.6503,-79.3596,600000,15000
The Santa Claus Parade,Santa Parade 2024,Annual parade through downtown Toronto.,Parade / Holiday,2024-11-24,12:30:00,2024-11-24,4:00:00 PM,Yes,Yes,thesantaclausparade.com,info@thesantaclausparade.com,+1 416-599-9909,Bloor / University,43.6669,-79.3926,750000,750000
Cavalcade of Lights,Cavalcade 2024 Day 1,Christmas tree lighting and skating at NPS.,Holiday,2024-11-30,15:00:00,2024-11-30,11:00:00 PM,Yes,Yes,toronto.ca,spev@toronto.ca,+1 416-338-0338,Nathan Phillips Square,43.6535,-79.3839,50000,50000
New Year's Eve 2024,NYE Toronto,Fireworks and public celebration at the harbor.,Holiday,2024-12-31,19:00:00,2025-01-01,12:30:00 AM,Yes,Yes,toronto.ca,spev@toronto.ca,+1 416-338-0338,Waterfront,43.6535,-79.3841,160000,160000
Toronto Jazz Festival,Jazz Fest Day 1,Major jazz performances in the Yorkville area.,Music Festival,2024-06-21,12:00:00,2024-06-21,11:00:00 PM,Yes,Yes,torontojazz.com,info@torontojazz.com,+1 416-928-2033,Yorkville,43.6702,-79.3912,500000,50000
Toronto Jazz Festival,Jazz Fest Day 2,Major jazz performances in the Yorkville area.,Music Festival,2024-06-22,12:00:00,2024-06-22,11:00:00 PM,Yes,Yes,torontojazz.com,info@torontojazz.com,+1 416-928-2033,Yorkville,43.6702,-79.3912,500000,50000
Do West Fest,Do West Day 1,"Music, food and community street takeover.",Community,2024-06-07,18:00:00,2024-06-07,11:00:00 PM,Yes,Yes,dowestfest.ca,info@dowestfest.ca,+1 416-533-3537,Dundas St West,43.6501,-79.4345,250000,83333
Do West Fest,Do West Day 2,"Music, food and community street takeover.",Community,2024-06-08,11:00:00,2024-06-08,11:00:00 PM,Yes,Yes,dowestfest.ca,info@dowestfest.ca,+1 416-533-3537,Dundas St West,43.6501,-79.4345,250000,83333
PNE (Toronto Takeover),PNE Day 1,Summer music and food pop-up at the Waterfront.,Festival,2024-07-06,12:00:00,2024-07-06,9:00:00 PM,No,Yes,torontowaterfront.ca,info@waterfront.ca,+1 416-999-8888,Waterfront,43.6333,-79.4167,30000,15000
JerkFest Toronto,JerkFest Day 1,Food and music festival celebrating Caribbean jerk.,Food / Festival,2024-08-09,17:00:00,2024-08-09,10:00:00 PM,No,Yes,jerkfestival.ca,info@jerkfestival.ca,+1 416-394-8750,Centennial Park,43.6504,-79.5878,65000,21666
JerkFest Toronto,JerkFest Day 2,Food and music festival celebrating Caribbean jerk.,Food / Festival,2024-08-10,11:00:00,2024-08-10,10:00:00 PM,No,Yes,jerkfestival.ca,info@jerkfestival.ca,+1 416-394-8750,Centennial Park,43.6504,-79.5878,65000,21666
The National Exhibition (CNE),CNE Air Show Day 1,Canadian International Air Show over Lake Ontario.,Special Event,2024-08-31,12:00:00,2024-08-31,3:30:00 PM,No,Yes,cias.org,info@cias.org,+1 416-263-3650,Exhibition Place,43.6328,-79.4116,500000,166666
The National Exhibition (CNE),CNE Air Show Day 2,Canadian International Air Show over Lake Ontario.,Special Event,2024-09-01,12:00:00,2024-09-01,3:30:00 PM,No,Yes,cias.org,info@cias.org,+1 416-263-3650,Exhibition Place,43.6328,-79.4116,500000,166666
Tirgan Festival,Tirgan Day 1,World's largest celebration of Iranian arts.,Arts / Culture,2024-07-18,10:00:00,2024-07-18,10:00:00 PM,Yes,Yes,tirgan.ca,info@tirgan.ca,+1 416-241-1000,Harbourfront Centre,43.6384,-79.382,150000,37500
Street Eats Market,Street Eats 2024,Ontario's largest food truck festival.,Food / Festival,2024-05-18,12:00:00,2024-05-18,8:00:00 PM,Yes,Yes,streeteatsmarket.com,info@streeteats.ca,+1 416-123-4567,Scarborough Town Centre,43.7755,-79.2577,45000,22500
Manifesto Festival,Manifesto Day 1,Multi-disciplinary arts and hip-hop culture.,Arts / Culture,2024-06-08,12:00:00,2024-06-08,11:00:00 PM,No,Yes,mnfsto.com,info@mnfsto.com,+1 416-555-9090,Various,43.6561,-79.3802,20000,10000
